ID,title,author,price,stock,genre
11111111-1111-1111-1111-111111111111,Clean Code,Latha Naidu,39.99,25,Software Engineering
22222222-2222-2222-2222-222222222222,Designing Data-Intensive Applications,Martin Kleppmann,54.99,18,Architecture
33333333-3333-3333-3333-333333333333,The Pragmatic Programmer,Andrew Hunt,44.99,30,Programming
44444444-4444-4444-4444-444444444444,Domain-Driven Design,Eric Evans,59.99,12,Architecture
55555555-5555-5555-5555-555555555555,SAP CAP Development Guide,SAP Press,49.99,20,SAP
66666666-6666-6666-6666-666666666666,SAP BTP in Practice,SAP Press,64.99,15,SAP
77777777-7777-7777-7777-777777777777,Enterprise Integration Patterns,Gregor Hohpe,69.99,10,Integration
88888888-8888-8888-8888-888888888888,Generative AI for Developers,OpenAI,45.99,22,Artificial Intelligence
99999999-9999-9999-9999-999999999999,Machine Learning with Python,Sebastian Raschka,52.99,16,Artificial Intelligence
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,SAP HANA Cloud Guide,SAP Press,58.99,14,Database
